Transaction_ID,Year,Season,Category,City,State,Customer_ID,Product_ID,Payment_Mode,MRP,Discount_%,Quantity,Return_Flag,Out_of_Stock,Hour_of_Day,Selling_Price,Revenue,Margin
T1,2022,Festive,Beauty,Pune,Tamil Nadu,C215,P439,Wallet,36870.02,37,2,0,0,22,23228.11,46456.22,27283.819999999992
T2,2023,Monsoon,Mobiles,Bangalore,West Bengal,C1296,P488,COD,32159.25,39,1,0,0,18,19617.14,19617.14,12542.11
T3,2021,Summer,Electronics,Hyderabad,West Bengal,C1288,P129,Wallet,37994.27,58,1,0,0,8,15957.59,15957.59,22036.679999999997
T4,2023,Winter,Beauty,Pune,Telangana,C1621,P194,Wallet,41038.08,60,4,0,0,12,16415.23,65660.92,98491.40000000001
T5,2023,Summer,Home,Bangalore,Delhi,C383,P261,Wallet,46164.46,19,3,0,0,17,37393.21,112179.63,26313.75
T6,2020,Festive,Beauty,Kolkata,Karnataka,C758,P209,Credit Card,21660.65,8,4,0,0,3,19927.8,79711.2,6931.400000000009
T7,2021,Festive,Beauty,Kolkata,Maharashtra,C927,P55,Credit Card,49237.93,68,2,0,0,19,15756.14,31512.28,66963.58
T8,2021,Monsoon,Home,Delhi,Maharashtra,C1917,P329,COD,10939.91,26,2,0,0,0,8095.53,16191.06,5688.76
T9,2021,Festive,Home,Pune,Maharashtra,C1184,P314,UPI,35775.39,28,2,0,0,19,25758.28,51516.56,20034.22
T10,2023,Festive,Grocery,Pune,Telangana,C1604,P106,Wallet,26793.66,51,4,0,0,2,13128.89,52515.56,54659.08
T11,2022,Summer,Electronics,Pune,Telangana,C569,P150,UPI,40881.65,10,3,1,1,10,36793.48,110380.44,12264.509999999995
T12,2021,Festive,Home,Chennai,Tamil Nadu,C424,P110,Credit Card,23943.17,31,4,0,0,1,16520.79,66083.16,29689.51999999999
T13,2023,Festive,Fashion,Mumbai,Telangana,C1233,P324,Wallet,39240.14,14,4,0,0,5,33746.52,134986.08,21974.48000000001
T14,2020,Winter,Fashion,Hyderabad,West Bengal,C1109,P191,UPI,46522.4,43,2,0,1,2,26517.77,53035.54,40009.26
T15,2022,Festive,Electronics,Pune,Tamil Nadu,C1529,P96,UPI,36668.25,41,2,0,0,9,21634.27,43268.54,30067.96
T16,2020,Winter,Mobiles,Mumbai,Tamil Nadu,C1660,P486,Debit Card,38849.5,58,1,0,0,8,16316.79,16316.79,22532.71
T17,2022,Festive,Mobiles,Chennai,Maharashtra,C1890,P421,Credit Card,3545.34,55,3,0,0,13,1595.4,4786.200000000001,5849.82
T18,2023,Festive,Fashion,Kolkata,Maharashtra,C1742,P257,COD,10406.89,64,3,0,0,15,3746.48,11239.44,19981.23
T19,2019,Monsoon,Home,Hyderabad,Karnataka,C1711,P85,COD,48720.33,55,3,0,0,23,21924.15,65772.45000000001,80388.54000000001
T20,2022,Monsoon,Electronics,Bangalore,Delhi,C1227,P34,Debit Card,34720.71,66,4,0,0,23,11805.04,47220.16,91662.68
T21,2020,Winter,Mobiles,Kolkata,Telangana,C778,P375,UPI,28160.16,53,2,1,0,17,13235.28,26470.56,29849.76
T22,2023,Festive,Mobiles,Kolkata,Delhi,C670,P327,Debit Card,18475.42,55,2,0,0,21,8313.94,16627.88,20322.959999999995
T23,2022,Summer,Beauty,Delhi,Delhi,C1281,P418,Debit Card,2410.57,32,1,0,0,3,1639.19,1639.19,771.3800000000001
T24,2019,Monsoon,Fashion,Chennai,Delhi,C475,P276,Credit Card,18582.97,40,4,0,0,17,11149.78,44599.12,29732.760000000002
T25,2019,Summer,Home,Delhi,Tamil Nadu,C1517,P343,Wallet,25045.86,29,3,0,0,1,17782.56,53347.68000000001,21789.899999999998
T26,2021,Monsoon,Electronics,Delhi,Delhi,C1493,P127,UPI,10730.68,40,4,0,0,9,6438.41,25753.64,17169.08
T27,2021,Monsoon,Mobiles,Mumbai,Telangana,C95,P322,COD,8822.21,64,2,0,0,11,3176.0,6352.0,11292.419999999998
T28,2020,Festive,Beauty,Kolkata,Tamil Nadu,C446,P106,COD,25519.14,11,1,1,0,6,22712.03,22712.03,2807.1100000000006
T29,2022,Monsoon,Fashion,Chennai,Telangana,C233,P419,Debit Card,29378.03,69,4,0,0,15,9107.19,36428.76,81083.35999999999
T30,2022,Summer,Fashion,Delhi,Tamil Nadu,C1590,P215,Debit Card,12147.91,40,2,0,0,16,7288.75,14577.5,9718.32
T31,2021,Monsoon,Electronics,Bangalore,Maharashtra,C12,P422,Debit Card,29452.0,34,4,0,0,13,19438.32,77753.28,40054.72
T32,2022,Winter,Mobiles,Hyderabad,Maharashtra,C689,P199,UPI,45036.93,51,2,0,0,23,22068.1,44136.2,45937.66
T33,2022,Festive,Electronics,Pune,Maharashtra,C38,P81,Debit Card,23764.03,33,4,0,0,20,15921.9,63687.6,31368.519999999997
T34,2019,Festive,Electronics,Chennai,Maharashtra,C1544,P16,Debit Card,42898.03,9,3,0,0,23,39037.21,117111.63,11582.46
